"","Authors","Title","Year","Source.title","DOI","Abstract","Title2","Abstract2"
"1836","DeGrandi-Hoffman, G; Gage, SL; Corby-Harris, V; Carroll, M; Chambers, M; Graham, H; deJong, EW; Hidalgo, G; Calle, S; Azzouz-Olden, F; Meador, C; Snyder, L; Ziolkowski, N","connecting the nutrient composition of seasonal pollens with changing nutritional needs of honey bee (apis mellifera l.) colonies",2018,"JOURNAL OF INSECT PHYSIOLOGY","10.1016/j.jinsphys.2018.07.002","Free-ranging herbivores have yearly life cycles that generate dynamic resource needs. Honey bee colonies also have a yearly life cycle that might generate nutritional requirements that differ between times of brood rearing and colony expansion in the spring and population contraction and preparation for overwintering in the fall. To test this, we analyzed polyfioral mixes of spring and fall pollens to determine if the nutrient composition differed with season. Next, we fed both types of seasonal pollens to bees reared in spring and fall. We compared the development of brood food glands (i.e., hypopharyngeal glands - HPG), and the expression of genes in the fat body between bees fed pollen from the same (in-season) or different season (out-of-season) when they were reared. Because pathogen challenges often heighten the effects of nutritional stress, we infected a subset of bees with Nosema to determine if bees responded differently to the infection depending on the seasonal pollen they consumed. We found that spring and fall pollens were similar in total protein and lipid concentrations, but spring pollens had higher concentrations of amino and fatty acids that support HPG growth and brood production. Bees responded differently when fed in vs. out of season pollen. The HPG of both uninfected and Nosema-infected spring bees were larger when they were fed spring (in-season) compared to fall pollen. Spring bees differentially regulated more than 200 genes when fed in- vs. out-of-season pollen. When infected with Nosema, approximately 400 genes showed different infection-induced expression patterns in spring bees depending on pollen type. In contrast, HPG size in fall bees was not affected by pollen type, though HPG were smaller in those infected with Nosema. Very few genes were differentially expressed with pollen type in uninfected (4 genes) and infected fall bees (5 genes). Pollen type did not affect patterns of infection-induced expression in fall bees. Our data suggest that physiological responses to seasonal pollens differ between bees reared in the spring and fall with spring bees being significantly more sensitive to pollen type especially when infected with Nosema. This study provides evidence that seasonal pollens may provide levels of nutrients that align with the activities of honey bees during their yearly colony cycle. The findings are important for the planning and establishment of forage plantings to sustain honey bees, and in the development of seasonal nutritional supplements fed to colonies when pollen is unavailable.","connecting the nutrient composition of seasonal pollens with changing nutritional","Free-ranging herbivores have yearly life cycles that generate dynamic resource"
"501","Dellicour S., Michez D., Rasplus J.-Y., Mardulyn P.","impact of past climatic changes and resource availability on the population demography of three food-specialist bees",2015,"Molecular Ecology","10.1111/mec.13085","Past climate change is known to have strongly impacted current patterns of genetic variation of animals and plants in Europe. However, ecological factors also have the potential to influence demographic history and thus patterns of genetic variation. In this study, we investigated the impact of past climate, and also the potential impact of host plant species abundance, on intraspecific genetic variation in three codistributed and related specialized solitary bees of the genus Melitta with very similar life history traits and dispersal capacities. We sequenced five independent loci in samples collected from the three species. Our analyses revealed that the species associated with the most abundant host plant species (Melitta leporina) displays unusually high genetic variation, to an extent that is seldom reported in phylogeographic studies of animals and plants. This suggests a potential role of food resource abundance in determining current patterns of genetic variation in specialized herbivorous insects. Patterns of genetic variation in the two other species indicated lower overall levels of diversity, and that M. nigricans could have experienced a recent range expansion. Ecological niche modelling of the three Melitta species and their main host plant species suggested a strong reduction in range size during the last glacial maximum. Comparing observed sequence data with data simulated using spatially explicit models of coalescence suggests that M. leporina recovered a range and population size close to their current levels at the end of the last glaciation, and confirms recent range expansion as the most likely scenario for M. nigricans. Overall, this study illustrates that both demographic history and ecological factors may have contributed to shape current phylogeographic patterns. © 2015 John Wiley & Sons Ltd.","impact of past climatic changes and resource availability on the","Past climate change is known to have strongly impacted current"
"2394","Dellicour, S; Mardulyn, P; Hardy, OJ; Hardy, C; Roberts, SPM; Vereecken, NJ","inferring the mode of colonization of the rapid range expansion of a solitary bee from multilocus dna sequence variation",2014,"JOURNAL OF EVOLUTIONARY BIOLOGY","10.1111/jeb.12280","Rapid geographic range expansions can have dramatic effects on the distribution of genetic diversity, both within and among populations. Based on field records collected over the past two decades in Western Europe, we report on the rapid geographic range expansion in Colletes hederae, a solitary bee species. To characterize how this expansion shaped the distribution of genetic diversity within and among populations, we performed a genetic analysis based on the sequencing of three nuclear loci (RNAp, CAD and WgL). We then simulated the evolution of DNA sequences under a spatially explicit model of coalescence to compare different hypotheses regarding the mode of colonization associated with this rapid expansion and to identify those that are most consistent with the observed molecular data. Our genetic analyses indicate that the range expansion was not associated with an important reduction in genetic diversity, even in the most recently colonized area in the United Kingdom. Moreover, little genetic differentiation was observed among populations. Our comparative analysis of simulated data sets indicates that the observed genetic data are more consistent with a demographic scenario involving relatively high migration rates than with a scenario based on a high reproduction rate associated with few migrants. In the light of these results, we discuss the factors that might have contributed to the rapid geographic range expansion of this pollen-specialist solitary bee species across Western Europe.","inferring the mode of colonization of the rapid range expansion","Rapid geographic range expansions can have dramatic effects on the"
"178","Démares F.J., Pirk C.W.W., Nicolson S.W., Human H.","neonicotinoids decrease sucrose responsiveness of honey bees at first contact",2018,"Journal of Insect Physiology","10.1016/j.jinsphys.2018.05.004","For two decades, neonicotinoid insecticides have been extensively used worldwide. Targeting neuronal receptors, they have deleterious effects on the behaviour and physiology of many insects. Bees are exposed to these insecticides in pollen and nectar while providing pollination services to agricultural crops, and neonicotinoids have been shown to impair navigation and decrease their foraging activity. We have previously reported the effect of dietary thiamethoxam on sucrose responsiveness of young worker bees. Here, we exposed caged foragers to sublethal acute doses of clothianidin, imidacloprid, and thiamethoxam, then tested them individually for sucrose responsiveness using standard methods. In addition, we tested the response to a range of sucrose solutions laced with neonicotinoids on bees previously unexposed to neonicotinoids. This paradigm mimics the situation where foragers would first encounter poisoned nectars varying in sugar concentration. Bees were exposed to the insecticides in the feeding solution for 24 h before testing, or in the test solutions, or both. The three compounds had a detrimental effect on responses to mid-to-high sucrose concentrations under all experimental conditions, and unexposed bees tested with laced sucrose displayed unexpected low responses to the higher sucrose concentrations tested. This attenuation of sucrose response is further evidence that neonicotinoids are multisensory disruptors, with potent actions against pollinators and other beneficial insects at first contact. © 2018 Elsevier Ltd","neonicotinoids decrease sucrose responsiveness of honey bees at first contact","For two decades, neonicotinoid insecticides have been extensively used worldwide."
"513","Denisow B., Wrzesień M.","the importance of field-margin location for maintenance of food niches for pollinators",2015,"Journal of Apicultural Science","10.1515/jas-2015-0002","Understanding the factors that have an impact on the diversity of forage flora in the agricultural landscape is a key issue in the maintenance and control of food niches for pollinators. Field margins are common linear structures in the agricultural landscape. In the present study, we evaluated the factors that exert an impact on the forage flora composition and on the diversity in field margins. The study was conducted in the 2010 - 2011 time period across the agricultural landscape on the Lublin Upland of SE Poland. Data on the forage flora were obtained while making floristic charts along 45 transect plots x 300 m; the total length being 13500 m. Multivariate ordination techniques (PCA and RDA) were employed to analyse forage-flora characteristics. Field margins represent valuable refuge areas for forage-species richness, but not for the abundance of forage species. On field margins, forage-species diversity benefits from the location of natural habitats (forests or meadows), primarily if the distance from these habitats is <1000 m or the field acreage is <10 ha. The shift from heterogeneous habitats to a more homogeneous landscape causes a reduction of forage floral diversity. Due to lack of dense forage-species patches, the promotion of sowing nectariferous and/or polleniferous species seems to be a reasonable management method to enhance the quantitative food niche on field margins and to support the conservation of pollinators in the areas surrounding farms. © 2015, J. APIC. SCI. All rights reserved.","the importance of field-margin location for maintenance of food niches","Understanding the factors that have an impact on the diversity"
"1833","Desaegher, J; Nadot, S; Fontaine, C; Colas, B","floral morphology as the main driver of flower-feeding insect occurrences in the paris region",2018,"URBAN ECOSYSTEMS","10.1007/s11252-018-0759-5","Through the rapid expansion worldwide of impervious areas and habitat fragmentation, urbanization has strong consequences that must be understood to efficiently manage biodiversity. We studied the effects of urbanization on flower-feeding insects by using data from a citizen science program in the Parisian region. We analysed the occurrence of insects from 46 different families on flowers of different morphologies, using landscape indices in buffer areas from a 100-m to a 4000-m radius around 1194 sampled sites. Our aims were to determine (i) how the proportion of impervious area around sampled sites affected the occurrence of flower-feeding insect families and at which landscape scales impervious area calculations best predicted these occurrences; (ii) the effect of corolla shape variables on insect family occurrences. Twenty-one families were negatively impacted by increasing proportion of impervious areas (urbanophobic) and 3 were positively impacted (urbanophilic). Urbanophobic families were most affected by the proportion of impervious areas when it was estimated within buffers of 200-m to 1400-m radii, depending on the family. Notable losses of urbanophobic families were detected at less than 50% of impervious areas, which highlights the threat to the diversity of flower-feeding insects posed by urban sprawl. Corolla shape variables were the variables most often significantly implicated in the occurrence of insect families. Urbanophobic families were negatively affected by the tubular shape of flowers, and tubular corollas were found more often in urbanized areas. These results suggest that flora management might be a key component for the conservation of insect diversity in cities.","floral morphology as the main driver of flower-feeding insect occurrences","Through the rapid expansion worldwide of impervious areas and habitat"
"1067","Desjardins È.-C., De Oliveira D.","commercial bumble bee bombus impatiens (hymenoptera: apidae) as a pollinator in lowbush blueberry (ericale: ericaceae) fields",2006,"Journal of Economic Entomology","","Here, we evaluate the potential of the bumble bee Bombus impatiens Cresson, obtained from commercial colonies, as a pollen vector for lowbush blueberry, Vaccinium augustifolium Aiton. We wanted to gain insight into the relationships between pollination by introduced bumble bees, the categories of seeds produced, and the weight and the maturity of the blueberries. The effect of B. impatiens foraging in blueberry stands was measured quantitatively through fruit set and seed set analysis. We created a density gradient of B. impatiens by clustering 72 small hives at the southern extremity of blueberry fields located in Girardville (49° 00' N, 72° 33' W), Quebec, Canada. Observers recorded plant and insect data in 52 plots of 1 by 10 m, distributed at distances ranging from 25 to 1,500 m from the hives. From these data, we evaluated the fruit set rate, the weight and maturity of the berries, and the number of seed structures per berry, including true seeds of large, medium, and small size, pseudo-seeds, and ovules. Positive correlations were found between the density of B. impatiens and fruit set as well as the number of large seeds per berry. Large seeds influenced the weight and maturity of berries. B. impatiens acted as a ""near-nest central forager"" and increased fruit set and seed production up to 100 and 150 m respectively, from the hives. © 2006 Entomological Society of America.","commercial bumble bee bombus impatiens (hymenoptera: apidae) as a pollinator","Here, we evaluate the potential of the bumble bee Bombus"
"2358","Detrain, C; Prieur, J","sensitivity and feeding efficiency of the black garden ant lasius niger to sugar resources",2014,"JOURNAL OF INSECT PHYSIOLOGY","10.1016/j.jinsphys.2014.03.010","Carbohydrate sources such as plant exudates, nectar and honeydew represent the main source of energy for many ant species and contribute towards maintaining their mutualistic relationships with plants or aphid colonies. Here we characterise the sensitivity, feeding response curve and food intake efficiency of the aphid tending ant, Lasius niger for major sugars found in nectar, honeydew and insect haemolymph (i.e. fructose, glucose, sucrose, melezitose and trehalose). We found that sucrose concentrations - ranging from 0.1 to 2.5 M - triggered food acceptance by L niger workers with their food intake efficiency being enhanced by sugar concentrations of 1 M or higher at which points energy intake was maximised. The range of sucrose concentrations that elicit a feeding response by L niger scouts thus overlaps with that of natural sugar resources. The response curves of feeding acceptance by scouts consistently increased with sugar concentration, except for trehalose which was disregarded by the ants. Ants are highly sensitive to sucrose and melezitose exhibiting low response thresholds. Sucrose, fructose and glucose share a same potential to act as phagostimulants as they had similar half feeding efficiency concentration values when expressed as the energetic content of sugar solution. Aphid-biosynthezised melezitose generated the highest sensitivity and phagostimulant potential. The feeding behavior of ants appears to be primarily regulated by the energy content of the food solution for the main sugars present in nectar and honeydew. However, feeding by scouts is also influenced by the informative value of individual sugars when it serves as a cue for the presence of aphid partners such as the aphid-biosynthesised melezitose. (C) 2014 Elsevier Ltd. All rights reserved.","sensitivity and feeding efficiency of the black garden ant lasius","Carbohydrate sources such as plant exudates, nectar and honeydew represent"
"3288","Detrain, C; Tasse, O; Versaen, M; Pasteels, JM","a field assessment of optimal foraging in ants: trail patterns and seed retrieval by the european harvester ant messor barbarus",2000,"INSECTES SOCIAUX","10.1007/s000400050009","The ant Messor barbarus is a major seed predator on annual grasslands of the Mediterranean area. This paper is an attempt to relate: the foraging ecology of this species to resource availability and to address several predictions of optimal foraging theory under natural conditions of seed harvesting. Spatial patterns of foraging trails tended to maximise acquisition of food resources, as trails led the ants to areas where seeds were more abundant locally, Moreover, harvesting activity concentrated an highly frequented trails, on which seeds were brought into the nest in larger numbers and more efficiently, at a higher mean rate per worker. The predictions of optimal foraging theory that ants should be more selective in both more resource-rich and more distant patches were tested in the native seed background. We confirm that selectivity of ants is positively related to trail length and thus to distance from the nest of foraged seeds. Conversely, we fail to find a consistent relationship between selectivity and density or species diversity of seed patches. We discuss how selectivity assessed at the colony level may depend on factors other than hitherto reported behavioural changes in seed choice by individual foragers.","a field assessment of optimal foraging in ants: trail patterns","The ant Messor barbarus is a major seed predator on"
"845","Dev S.A., Shenoy M., Borges R.M.","genetic and clonal diversity of the endemic ant-plant humboldtia brunonis (fabaceae) in the western ghats of india",2010,"Journal of Biosciences","10.1007/s12038-010-0031-5","Humboldtia brunonis (Fabaceae, Caesalpinioideae) is a dominant self-incompatible ant-plant or myrmecophyte, growing as an understorey tree in high-density patches. It is endemic to the biodiversity hotspot of the southern Western Ghats of India and, besides ants, harbours many endemic invertebrate taxa, such as bees that pollinate it as well as arboreal earthworms, within swollen hollow stem internodes called domatia. Using inter simple sequence repeat (ISSR) markers, three geographically separated populations were found to be multiclonal, characterized by high levels of clonal diversity. Values for the Simpson diversity index ranged between 0.764 and 0.964, and for Fager's evenness index between 0.00 and 0.036 for neighbourhoods within populations. This myrmecophyte was found to combine sexual recruitment (66.7%) and clonal production (33.3%) as methods of reproduction. Moderate amounts of genetic diversity at the species level were observed, with 52.63% polymorphism, and moderate values of Shannon's diversity index (0.1895) as well as of Nei's gene diversity (0.1186). In each population, observed genotypic diversity was significantly lower than expected, indicating significant genetic structure. Neighbour-joining trees demonstrated that Agumbe, which is the most northern population examined and geographically twice as far away from the other two populations, grouped separately and with larger bootstrap support from a larger cluster consisting of the Sampaji and Solaikolli populations, which are closer to each other geographically. Some neighbourhoods within each population showed spatial genetic structure even at small spatial scales of <5 m. A combination of clonality and short-distance pollen movement by small pollinating bees (Braunsapis puangensis) coupled with primary ballistic seed dispersal, and possible secondary seed dispersal by rodents, may contribute to spatial genetic structure at such small scales. The clonality of H. brunonis may be a factor that contributes to its dominance in Western Ghat forests where it supports a rich diversity of invertebrate fauna. © Indian Academy of Sciences.","genetic and clonal diversity of the endemic ant-plant humboldtia brunonis","Humboldtia brunonis (Fabaceae, Caesalpinioideae) is a dominant self-incompatible ant-plant or"
"1479","Devall M.S., Thien L.B.","factors influencing the reproductive success of ipomoea pes-caprae (convolvulaceae) around the gulf of mexico",1989,"American Journal of Botany","10.2307/2444480","The primary pollinators were Xylocopa species (carpenter bees) which dispersed pollen up to 90 m. Ants feeding on extrafloral nectaries increased seed set but did not protect seeds from predation by the bruchid beetle Megacerus. The water-dispersed seed and long-range dispersal of pollen may function to counter the sporophytic incompatability mechanism of the plant; populations exhibit a large neighborhood size. Key reproductive factors in the life cycle are the long-range pollen flow and mass germination of water-dispersed seeds. -from Authors","factors influencing the reproductive success of ipomoea pes-caprae (convolvulaceae) around","The primary pollinators were Xylocopa species (carpenter bees) which dispersed"
"180","Devarrewaere W., Foqué D., Nicolai B., Nuyttens D., Verboven P.","eulerian-lagrangian cfd modelling of pesticide dust emissions from maize planters",2018,"Atmospheric Environment","10.1016/j.atmosenv.2018.04.051","An Eulerian-Lagrangian 3D computational fluid dynamics (CFD) model of pesticide dust drift from precision vacuum planters in field conditions was developed. Tractor and planter models were positioned in an atmospheric computational domain, representing the field and its edges. Physicochemical properties of dust abraded from maize seeds (particle size, shape, porosity, density, a.i. content), dust emission rates and exhaust air velocity values at the planter fan outlets were measured experimentally and implemented in the model. The wind profile, the airflow pattern around the machines and the dust dispersion were computed. Various maize sowing scenarios with different wind conditions, dust properties, planter designs and vacuum pressures were simulated. Dust particle trajectories were calculated by means of Lagrangian particle tracking, considering nonspherical particle drag, gravity and turbulent dispersion. The dust dispersion model was previously validated with wind tunnel data. In this study, simulated pesticide concentrations in the air and on the soil in the different sowing scenarios were compared and discussed. The model predictions were similar to experimental literature data in terms of concentrations and drift distance. Pesticide exposure levels to bees during flight and foraging were estimated from the simulated concentrations. The proposed CFD model can be used in risk assessment studies and in the evaluation of dust drift mitigation measures. © 2018 Elsevier Ltd","eulerian-lagrangian cfd modelling of pesticide dust emissions from maize planters","An Eulerian-Lagrangian 3D computational fluid dynamics (CFD) model of pesticide"
"2063","Devarrewaere, W; Heimbach, U; Poque, D; Nicolai, B; Nuyttens, D; Verboven, P","wind tunnel and cfd study of dust dispersion from pesticide-treated maize seed",2016,"COMPUTERS AND ELECTRONICS IN AGRICULTURE","10.1016/j.compag.2016.08.007","Drilling of treated seeds with vacuum-based precision drills can cause emissions of pesticide-laden dust, which have been linked with declines of pollinator populations. Predicting the drift pattern of this type of dust is challenging because the particles are very irregular in terms of size, shape, density, internal porosity and chemical composition. In this work, a 3D Computational Fluid Dynamics (CFD) model of seed treatment dust drift was developed and validated with wind tunnel data. In the wind tunnel experiment, dust abraded from pesticide-treated seed was separated in three size fractions and released from a point source at a height of 0.7 m at three air velocities. Dust deposition was measured at six distances on the wind tunnel floor. The physicochemical properties of the dust samples were measured and implemented in the CFD model. Lagrangian tracking was used to calculate the dust particle trajectories. The simulated dust deposition patterns agreed with those observed in the wind tunnel trials. It was demonstrated that an accurate, particle size-dependent description of the shape, chemical content and internal porosity of the dust particles was necessary to achieve good validation results. The CFD model can be used as a basis for the simulation of dust drift in the field during sowing. (C) 2016 Elsevier B.V. All rights reserved.","wind tunnel and cfd study of dust dispersion from pesticide-treated","Drilling of treated seeds with vacuum-based precision drills can cause"
"2309","Devaux, C; Lande, R; Porcher, E","pollination ecology and inbreeding depression control individual flowering phenologies and mixed mating",2014,"EVOLUTION","10.1111/evo.12507","We analyze evolution of individual flowering phenologies by combining an ecological model of pollinator behavior with a genetic model of inbreeding depression for plant viability. The flowering phenology of a plant genotype determines its expected daily floral display which, together with pollinator behavior, governs the population rate of geitonogamous selfing (fertilization among flowers on the same plant). Pollinators select plant phenologies in two ways: they are more likely to visit plants displaying more flowers per day, and they influence geitonogamous selfing and consequent inbreeding depression via their abundance, foraging behavior, and pollen carry-over among flowers on a plant. Our model predicts two types of equilibria at stable intermediate selfing rates for a wide range of pollinator behaviors and pollen transfer parameters. Edge equilibria occur at maximal or minimal selfing rates and are constrained by pollinators. Internal equilibria occur between edge equilibria and are determined by a trade-off between pollinator attraction to large floral displays and avoidance of inbreeding depression due to selfing. We conclude that unavoidable geitonogamous selfing generated by pollinator behavior can contribute to the common occurrence of stable mixed mating in plants.","pollination ecology and inbreeding depression control individual flowering phenologies and","We analyze evolution of individual flowering phenologies by combining an"
"549","Devoto M., Bailey S., Memmott J.","ecological meta-networks integrate spatial and temporal dynamics of plant-bumble bee interactions",2014,"Oikos","10.1111/j.1600-0706.2013.01251.x","Bumble bees can forage on a large number of wild plants and crops. The survival of a colony depends on the availability of suitable food resources within foraging range and throughout their forage season. We studied the spatial and temporal use of floral resources by bumble bees in a set of 30 local plant communities and used these data to model colony survival under different combinations of patch size and bumble bee flight distance. Floral resources vary spatially and temporally at the landscape level, and bumble bees track these resources across the landscape during the season. The simulation model showed that different patterns of resources availability could affect the survival and distribution of bumble bee nests across the landscape. This model can be used to generate hypotheses explaining bumble bee richness and abundance that can be tested in real landscapes. Integrating the spatial and temporal dynamics of the flower resources used by bumble bees provides a new perspective that can be used to inform bumble bee conservation, particularly in the context of their widespread decline in recent decades. © 2013 Crown.","ecological meta-networks integrate spatial and temporal dynamics of plant-bumble bee","Bumble bees can forage on a large number of wild"
"407","Dew R.M., Rehan S.M., Schwarz M.P.","biogeography and demography of an australian native bee ceratina australensis (hymenoptera, apidae) since the last glacial maximum",2016,"Journal of Hymenoptera Research","10.3897/JHR.49.8066","The small carpenter bees, genus Ceratina, are highly diverse, globally distributed, and comprise the sole genus in the tribe Ceratinini. Despite the diversity of the subgenus Neoceratina in the Oriental and Indo- Malayan region, Ceratina (Neoceratina) australensis is the only ceratinine species in Australia. We examine the biogeography and demography of C. australensis using haplotype variation at 677 bp of the barcoding region of COI for specimens sampled from four populations within Australia, across Queensland, New South Wales, Victoria and South Australia. There is geographic population structure in haplotypes, suggesting an origin in the northeastern populations, spreading to southern Australia. Bayesian Skyline Plot analyses indicate that population size began to increase approximately 18,000 years ago, roughly corresponding to the end of the last glacial maximum. Population expansion then began to plateau approximately 6,000 years ago, which may correspond to a slowing or plateauing in global temperatures for the current interglacial period. The distribution of C. australensis covers a surprisingly wide range of habitats, ranging from wet subtropical forests though semi-arid scrub to southern temperate coastal dunes. The ability of small carpenter bees to occupy diverse habitats in ever changing climates makes them a key species for understanding native bee diversity and response to climate change.","biogeography and demography of an australian native bee ceratina australensis","The small carpenter bees, genus Ceratina, are highly diverse, globally"
"98","Dew R.M., Silva D.P., Rehan S.M.","range expansion of an already widespread bee under climate change",2019,"Global Ecology and Conservation","10.1016/j.gecco.2019.e00584","Climate change is a key threat to pollination networks and has already caused shifts in the distribution and phenology of many bee species. Predictions based on species distribution models forecast that most bee species will continue to decline as climate change progresses, the few exceptions to this being common, widespread species with large dispersal capabilities. Most of the bees studied so far are temperate or tropical species but many ecosystems are predicted to experience increased aridification under climate change. Therefore, we need to understand how pollinator species are likely to respond. Here we present species distribution models for the arid-adapted Australian small carpenter bee, Ceratina australensis Perkins, 1912 (Apidae: Xylocopinae) under Intergovernmental Panel on Climate Change (IPCC) climate change conditions predicted for 2070 (Representative Carbon Pathway 8.5). We applied Maximum Entropy, Generalized Linear Models, Generalized Additive Models and Random Forest methods. Overall, our models predict that this bee will have an increased area of suitable habitat as climate change progresses, including an increased range within protected areas. However, its potential range will shift further into coastal areas, that are highly human populated and urbanised. Our results suggest that wild bee taxa may be able to cope with the predicted scale of future aridification under climate change. Finally, this species is predicted to increase in urban environments, which highlights the need for city planning, suitable habitats and green spaces to support wild bee species. © 2019 The Authors","range expansion of an already widespread bee under climate change","Climate change is a key threat to pollination networks and"
"2351","Dewar, ADM; Philippides, A; Graham, P","what is the relationship between visual environment and the form of ant learning-walks? an in silico investigation of insect navigation",2014,"ADAPTIVE BEHAVIOR","10.1177/1059712313516132","The learning walks of ants are an excellent opportunity to study the interaction between brain, body and environment from which adaptive behaviour emerges. Learning walks are a behaviour with the specific function of storing visual information around a goal in order to simplify the computational problem of visual homing, that is, navigation back to a goal. However, it is not known at present why learning walks take the stereotypical shapes they do. Here we investigate how learning-walk form, visual surroundings and the interaction between the two affect homing performance in a range of virtual worlds when using a simple view-based homing algorithm. We show that the ideal form for a learning walk is environment-specific. We also demonstrate that the distant panorama and small objects at an intermediate distance, particularly when the panorama is obscured, are important aspects of the visual environment both when determining the ideal learning walk and when using stored views to navigate. Implications are discussed in the context of behavioural research into the learning walks of ants.","what is the relationship between visual environment and the form","The learning walks of ants are an excellent opportunity to"
"1570","Dhaliwal H.S., Sharma P.L.","the foraging range of the indian honeybee on two crops",1973,"Journal of Apicultural Research","10.1080/00218839.1973.11099739","Counts were made of Apis cerana indica foraging on cauliflower and barberry flowers at different distances from the hive, during April 1970 and 1971. The maximum foraging distance on cauliflower was 900 m and on barberry 1100 m. 75% of the foragers were counted within 400 m of the hive on cauliflower and within 600–700 m on barberry. The pattern of forager distribution on the large continuous area of cauliflower was more regular than on the scattered areas of wild barberry. © 1973 International Bee Research Association.","the foraging range of the indian honeybee on two crops","Counts were made of Apis cerana indica foraging on cauliflower"
"1845","Dharampal, PS; Carlson, CM; Diaz-Garcia, L; Steffan, SA","in vitro rearing of solitary bees: a tool for assessing larval risk factors",2018,"JOVE-JOURNAL OF VISUALIZED EXPERIMENTS","10.3791/57876","Although solitary bees provide crucial pollination services for wild and managed crops, this species-rich group has been largely overlooked in pesticide regulation studies. The risk of exposure to fungicide residues is likely to be especially high if the spray occurs on, or near host plants while the bees are collecting pollen to provision their nests. For species of Osmia that consume pollen from a select group of plants (oligolecty), the inability to use pollen from non-host plants can increase their risk factor for fungicide-related toxicity. This manuscript describes protocols used to successfully rear oligolectic mason bees, Osmia ribifloris sensu lato, from egg to prepupal stage within cell culture plates under standardized laboratory conditions. The in vitro-reared bees are subsequently used to investigate the effects of fungicide exposure and pollen source on bee fitness. Based on a 2 x 2 fully crossed factorial design, the experiment examines the main and interactive effects of fungicide exposure and pollen source on larval fitness, quantified by prepupal biomass, larval developmental time, and survivorship. A major advantage of this technique is that using in vitro-reared bees reduces natural background variability and allows the simultaneous manipulation of multiple experimental parameters. The described protocol presents a versatile tool for hypotheses testing involving the suite of factors affecting bee health. For conservation efforts to be met with significant, lasting success, such insights into the complex interplay of physiological and environmental factors driving bee declines will prove to be critical.","in vitro rearing of solitary bees: a tool for assessing","Although solitary bees provide crucial pollination services for wild and"
"747","Diaz-Forero I., Kuusemets V., Mãnd M., Liivamãgi A., Kaart T., Luig J.","effects of forest habitats on the local abundance of bumblebee species: a landscape-scale study",2011,"Baltic Forestry","","The main objective of our study was to analyse how different bumblebee species are influenced by the presence of forest habitats in the surrounding landscape. The local abundance of bumblebee species was studied in 22 semi-natural meadows located in Northeast Estonia. The proportion of forest cover and brushwood cover, the mean patch area of forest and the edge density of forest were calculated at four spatial scales (i.e., radii of 250 m, 500 m, 1000 m and 2000 m). In total, we found 597 individuals of bumblebees belonging to 24 species (gen. Bombus), including five species of cuckoo bumblebees (subgen. Psithyrus). Our study shows that some bumblebee species seem to have different preferences in terms of the structure of the landscape. Some species may benefit from a heterogeneous landscape with a high proportion of forest habitats (e.g., B. schrencki), whereas others seem to prefer open areas (e.g., B. veteranus). We also found that some bumblebee species that have large foraging distances (e.g., B. terrestris) seem to be negatively affected by forest, as the presence of a high quantity of forest patches in the surrounding landscape could narrow their foraging area. The joint effects of the set of landscape variables related with forests appear to be important for some bumblebee species, specially, but not only, at the largest spatial scale. Overall, our results indicate that the presence of forest is very important for bumblebees, even for some species that prefer open areas, as forest habitats and edges may offer overwintering sites and nesting places for them. In countries like Estonia, where forests are widely distributed and represent a relevant part of the landscape mosaic, this type of habitat should be preserved if conservation of biodiversity is desired. In addition, conservation efforts targeting particular species of bumblebees should consider the landscape preferences of the species under study, and these efforts should aim to maintain the habitat types that are suitable for most bumblebee species.","effects of forest habitats on the local abundance of bumblebee","The main objective of our study was to analyse how"
"1364","Dibble A.C., Drummond F.A.","floral syndrome in amelanchier nantucketensis (rosaceae). i. floral density, bee activity, and oharacterization of andropetaly",1997,"Canadian Journal of Botany","10.1139/b97-897","The clonal shrub Amelanchier nantucketensis is andropetalous; a variable number of petals as well as normal anthers both bear germinable pollen. To determine whether floral density associated with andropetaly is related to activity of native bees on flowers, we compared Amelanchier nantucketensis to Amelanchier humilis and Amelanchier stolonifera, which have sterile petals. In samples from four Maine sites, floral density in Amelanchier nantucketensis was 30.3% greater than that for Amelanchier humilis and 39.5% greater than that for Amelanchier stolonifera; in Amelanchier nantucketensis, flowers were more numerous per cubic metre and distance between flowers was shorter. There was a significant correlation across all sites and species between the number of flowers per plant and number of inflorescences visited per bee in 10 min (r = 0.711, p = 0.0001). Statistical t tests separated Amelanchier nantucketensis from both Amelanchier humilis and Amelanchier stolonifera by plant height, nearest stem, nearest flower, and number of inflorescences visited per bee during 10 min. Plant species classification in a canonical discriminant analysis was 83-93% correct with four plant variables, namely distance to nearest flower, distance to nearest inflorescence, plant width, and plant height. Our findings support optimal foraging theory in that bee visits increase with floral density in these Amelanchier species.","floral syndrome in amelanchier nantucketensis (rosaceae). i. floral density, bee","The clonal shrub Amelanchier nantucketensis is andropetalous; a variable number"
