Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Document Type,Source,Relevant,Region,Country,Habitat,Family,Genus species,Sex,ITD,Eusociality,Nesting,Lecty,Metric,N,distance_type,Distance,SD,SE,CI_95,Foraging trips cease (km),Communication ceases (km),Notes,follow_up
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,72,Mean,827.6,733.7546873,,,,,Gerbrunn,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,115,Mean,773.23,768.8977966,,,,,Greussenheim,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,71,Mean,1293.71,1023.838781,,,,,Karsbach,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,61,Mean,521.68,910.283899,,,,,Marktbreit,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,101,Mean,995.04,876.8563393,,,,,Obersfeld,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,82,Mean,1659.73,1258.272499,,,,,Pleichfeld,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,84,Mean,1347.97,1572.388543,,,,,Retzstadt,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,116,Mean,426.34,304.2470442,,,,,Waldbrunn,
"Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.",Honey bee foraging ecology: Season but not landscape diversity shapes the amount and diversity of collected pollen,2017,PLoS ONE,12,8,e0183716,,,,10.1371/journal.pone.0183716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028540845&doi=10.1371%2fjournal.pone.0183716&partnerID=40&md5=c0165a90c19e45bfc058225869c44a13,"The availability of pollen in agricultural landscapes is essential for the successful growth and reproduction of honey bee colonies (Apis mellifera L.). The quantity and diversity of collected pollen can influence the growth and health of honey bee colonies, but little is known about the influence of landscape structure on pollen diet. In a field experiment, we rotated 16 honey bee colonies across 16 agricultural landscapes, used traps to collect samples of collected pollen and observed intra-colonial dance communication to gain information about foraging distances. DNA metabarcoding was applied to analyze mixed pollen samples. Neither the amount of collected pollen nor pollen diversity was related to landscape diversity. However, we found a strong seasonal variation in the amount and diversity of collected pollen in all sites independent of landscape diversity. The observed increase in foraging distances with decreasing landscape diversity suggests that honey bees compensated for lower landscape diversity by increasing their pollen foraging range in order to maintain pollen amount and diversity. Our results underscore the importance of a diverse pollen diet for honey bee colonies. Agri-environmental schemes aiming to support pollinators should focus on possible spatial and temporal gaps in pollen availability and diversity in agricultural landscapes. Â© 2017 Danner et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,61,Mean,1052.99,1112.555145,,,,,Winterhausen,
"Danner N., Molitor A.M., Schiele S., HÃ¤rtel S., Steffan-Dewenter I.",Season and landscape composition affect pollen foraging distances and habitat use of Honey bees,2016,Ecological Applications,26,6,,1920,1929,,10.1890/15-1840.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985037139&doi=10.1890%2f15-1840.1&partnerID=40&md5=b08ab7d5967d987a399e6a2057683ffc,"Honey bees (Apis mellifera L.) show a large variation in foraging distances and use a broad range of plant species as pollen resources, even in regions with intensive agriculture. However, it is unknown how increasing areas of mass-flowering crops like oilseed rape (Brassica napus; OSR) or a decrease of seminatural habitats (SNH) change the temporal and spatial availability of pollen resources for honey bee colonies, and thus foraging distances and firequency in different habitat types. We studied pollen foraging of honey bee colonies in 16 agricultural landscapes with independent gradients of OSR and SNH area within 2 km and used waggle dances and digital geographic maps with major land cover types to reveal the distance and visited habitat type on a landscape level. Mean pollen foraging distance of 1347 decoded bee dances was 1015 m (Â± 26 m; SEM). In spring, increasing area of flowering OSR within 2 km reduced mean pollen foraging distances from 1324 m to only 435 m. In summer, increasing cover of SNH areas close to the colonies (within 200 m radius) reduced mean pollen foraging distances from 846 to 469 m. Frequency of pollen foragers per habitat type, measured as the number of dances per hour and hectare, was equally high for SNH, grassland, and OSR fields, but lower for other crops and forests. In landscapes with a small proportion of SNH a significantly higher density of pollen foragers on SNH was observed, indicating that pollen resources in such simple agricultural landscapes are more limited. Overall, we conclude that SNH and mass-fowering crops can reduce foraging distances of honey bee colonies at different scales and seasons with possible benefits for the performance of honey bee colonies. Further, mixed agricultural landscapes with a high proportion of SNH reduce foraging densities of honey bees in SNH and thus possible competition for pollen resources. Â© 2016 by the Ecological Society of America.",Article,Scopus,yes,Europe,Germany,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,1347,Mean,1015,,26,,,,,DISCUSSION: this study is specifically across different landscape types
Darvill et al. (2004),,2004,,,,,,,,,,,,GZ,yes,Europe,UK,agriculture woodland urban,Apidae,Bombus pascuorum,Female,5.2,Social,,Polylectic,molecular,237,Max,10000,,,,,Sister-pair at 10km - max distance tested,yes_pdf,
Darvill et al. (2004),,2004,,,,,,,,,,,,GZ,yes,Europe,UK,agriculture woodland urban,Apidae,Bombus pascuorum,Female,,Social,,Polylectic,molecular,237,Mean,625,,,,,,yes_pdf,
Darvill et al. (2004),,2004,,,,,,,,,,,,GZ,yes,Europe,UK,agriculture woodland urban,Apidae,Bombus terrestris,Female,,Social,,Polylectic,molecular,97,Max,7500,,,,,Sister-pair at 7.5km - authors argue they forage at reduced distances - as above,yes_pdf,
Darvill et al. (2004),,2004,,,,,,,,,,,,GZ,yes,Europe,UK,agriculture woodland urban,Apidae,Bombus terrestris,Female,,Social,,Polylectic,molecular,97,Mean,312.5,,,,,,yes_pdf,
Desjardins and De Oliveir (2006),,2006,,,,,,,,,,,,additional,yes,North America,Canada,Agriculture,Apidae,Bombus impatiens,Female,,Social,,Polylectic,nest plant association,,Max,400,,,,,,,
Dhaliwal and Sharma (1973),,1973,,,,,,,,,,,,additional,yes,Asia,India,Agriculture,Apidae,Apis cerana,Female,,Social,,Polylectic,nest plant association,,Max,900,,,,,,Cauliflower,
Dhaliwal and Sharma (1973),,1973,,,,,,,,,,,,additional,yes,Asia,India,Agriculture,Apidae,Apis cerana,Female,,Social,,Polylectic,nest plant association,,Max,1100,,,,,,Barberry,
"dos Santos C.F., Imperatriz-Fonseca V.L., Arias M.C.",Relatedness and dispersal distance of eusocial bee males on mating swarms,2016,Entomological Science,19,3,,245,254,,10.1111/ens.12195,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977100904&doi=10.1111%2fens.12195&partnerID=40&md5=c5e58843084bdc8d721ba300f890e700,"Stingless bee males (Hymenoptera: Apidae) aggregate themselves for reproductive purposes. The knowledge of relatedness among the males attending the aggregations and the distance that they disperse from their natal nests to aggregations may provide important data to effectively conserve these bees. Here, we estimated these properties for Tetragonisca angustula (Latreille, 1811) males. Microsatellite molecular markers were used to genotype bees sampled from local nests and in mating swarms in order to identify the nests of origin of males and maternal genotypes of concerning queens. The distances from assigned nests to the mating swarms allowed us to estimate the distances travelled by males. A genetic relationship analysis was conducted to verify whether T. angustula males were closely related to nests where they aggregated. A pairwise relatedness analysis was also performed among all T. angustula males in each mating swarm. Our results demonstrated that T. angustula mating swarms received dozens to hundreds of males from several colonies (up to 70). Only two of the five mating swarms contained any males that were closely related to the bees from the new nests in construction. The relatedness among males was also extremely low. Yet, dispersal distance of T. angustula males ranged hundreds of meters up to 1.6 km, with evidence of reaching 2.25 km according to their flight radius obtained from their foraging area for locality. These data indicate a highly efficient mating system with minimal inbreeding in this bee species, with a great dispersal capability not previously found for stingless bee males. Â© 2016 The Entomological Society of Japan.",Article,Scopus,yes,South America,Brazil,,Apidae,Tetragonisca angustula,Male,,Social,,Polylectic,molecular,Not sure - 33 nests,Max,1677,,,,,,Dispersal distance,
"dos Santos C.F., Imperatriz-Fonseca V.L., Arias M.C.",Relatedness and dispersal distance of eusocial bee males on mating swarms,2016,Entomological Science,19,3,,245,254,,10.1111/ens.12195,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977100904&doi=10.1111%2fens.12195&partnerID=40&md5=c5e58843084bdc8d721ba300f890e700,"Stingless bee males (Hymenoptera: Apidae) aggregate themselves for reproductive purposes. The knowledge of relatedness among the males attending the aggregations and the distance that they disperse from their natal nests to aggregations may provide important data to effectively conserve these bees. Here, we estimated these properties for Tetragonisca angustula (Latreille, 1811) males. Microsatellite molecular markers were used to genotype bees sampled from local nests and in mating swarms in order to identify the nests of origin of males and maternal genotypes of concerning queens. The distances from assigned nests to the mating swarms allowed us to estimate the distances travelled by males. A genetic relationship analysis was conducted to verify whether T. angustula males were closely related to nests where they aggregated. A pairwise relatedness analysis was also performed among all T. angustula males in each mating swarm. Our results demonstrated that T. angustula mating swarms received dozens to hundreds of males from several colonies (up to 70). Only two of the five mating swarms contained any males that were closely related to the bees from the new nests in construction. The relatedness among males was also extremely low. Yet, dispersal distance of T. angustula males ranged hundreds of meters up to 1.6 km, with evidence of reaching 2.25 km according to their flight radius obtained from their foraging area for locality. These data indicate a highly efficient mating system with minimal inbreeding in this bee species, with a great dispersal capability not previously found for stingless bee males. Â© 2016 The Entomological Society of Japan.",Article,Scopus,yes,South America,Brazil,,Apidae,Tetragonisca angustula,Male,,Social,,Polylectic,molecular,Not sure - 33 nests,Mean,612,434,,,,,Dispersal distance,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis cerana,Female,2.7,Social,,Polylectic,waggle dance,,Max,1900,400,,,,Max = mean maximum,yes_pdf,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis cerana,Female,2.7,Social,,Polylectic,waggle dance,,Mean,195,,,,,50%,yes_pdf,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis dorsata,Female,2.7,Social,,Polylectic,waggle dance,,Max,12000,6100,,,,Max = mean maximum,yes_pdf,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis dorsata,Female,2.7,Social,,Polylectic,waggle dance,,Mean,863,,,,,50%,yes_pdf,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis florea,Female,1.8,Social,,Polylectic,waggle dance,,Max,11200,2500,,,,Max = mean maximum,yes_pdf,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis florea,Female,1.8,Social,,Polylectic,waggle dance,,Mean,268,,,,,"Taken empirical data, not data from other sources (see additional references). Mean = 50%",yes_pdf,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis mellifera,Female,3.3,Social,,Polylectic,waggle dance,,Max,7900,900,,,,Max = mean maximum,yes_pdf,
Dyer and Seeley (1991),,1991,,,,,,,,,,,,GZ,yes,Asia,Thailand,Tropical rainforest,Apidae,Apis mellifera,Female,3.3,Social,,Polylectic,waggle dance,,Mean,1650,,,,,50%,yes_pdf,
Esser (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,Germany,NA,Colletidae,Colletes daviesanus,Female,,,,Oligolectic,mark recapture,74,Max,2225,,,,,Can only find abstract - thesis,yes_pdf,
Fabre (1914),,1914,,,,,,,,,,,,GZ,yes,Europe,France,NA,Megachilidae,Megachile parietina,Female,4.5,,,,homing,,Mean,4000,,,,,2.5 miles = 4km,yes_pdf,
Fabre (1914),,1914,,,,,,,,,,,,GZ,yes,Europe,France,NA,Megachilidae,Megachile sicula,Female,4.3,,,,homing,,Mean,4000,,,,,2.5 miles = 4km,yes_pdf,
Franzen et al. (2009),,2009,,,,,,,,,,,,GZ,yes,Europe,Sweden,Mixed agriculture/wild,Andrenidae,Andrena hattorfiana,Female,,,,Oligolectic,mark recapture,80,Max,83,,,,,Smaland,yes_pdf,
Franzen et al. (2009),,2009,,,,,,,,,,,,GZ,yes,Europe,Sweden,Mixed agriculture/wild,Andrenidae,Andrena hattorfiana,Female,,,,Oligolectic,mark recapture,171,Max,130,,,,,Arontorp,yes_pdf,
Franzen et al. (2009),,2009,,,,,,,,,,,,GZ,yes,Europe,Sweden,Mixed agriculture/wild,Andrenidae,Andrena hattorfiana,Female,,,,Oligolectic,mark recapture,80,Median,52,,,,,Smaland,yes_pdf,
Franzen et al. (2009),,2009,,,,,,,,,,,,GZ,yes,Europe,Sweden,Mixed agriculture/wild,Andrenidae,Andrena hattorfiana,Female,,,,Oligolectic,mark recapture,171,Median,76,,,,,Arontorp,yes_pdf,
"Garbuzov M., SchÃ¼rch R., Ratnieks F.L.W.","Eating locally: dance decoding demonstrates that urban honey bees in Brighton, UK, forage mainly in the surrounding urban area",2015,Urban Ecosystems,18,2,,411,418,,10.1007/s11252-014-0403-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939893518&doi=10.1007%2fs11252-014-0403-y&partnerID=40&md5=90bd8a17a409538a4d6b045091bdb475,"Urbanization is increasing worldwide. Urban habitats often support considerable biodiversity and so are of conservation value, even though they are highly modified ecosystems. Urban parks and gardens are rich in flowers that provide food for pollinators, including bees. Here, we use waggle dance decoding to investigate foraging by 3 honey bee hives located in the city of Brighton, UK, over almost an entire foraging season, April to October. Waggle dances were recorded using video cameras and decoded during framewise playback on a computer by measuring the angle and duration of the waggle phase. Foraging was mostly local (mean monthly distances 0.5â€“1.2Â km) and mostly within the surrounding urban area (monthly means 78â€“92Â %) versus the countryside (closest distance 2.2Â km) even though this was well within the honey bee maximum foraging range (c. 12Â km). These distances were lower than those from a previous study for hives located in a rural area 4.5Â km away. Honey bees are very sensitive to foraging economics and foragers make waggle dances only after visiting high-quality feeding locations. Low distances advertised by dances, therefore, indicate sufficient forage nearby and show that urban areas can support honey bees year round. As a corollary, however, urban bees may provide little pollination service to agriculture especially in spring, which had the lowest foraging distances and is when the most economically important animal-pollinated UK crops, apple and oilseed rape, are in bloom. Â© 2014, Springer Science+Business Media New York.",Article,Scopus,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,61,Mean,518,,,86,,,April,
"Garbuzov M., SchÃ¼rch R., Ratnieks F.L.W.","Eating locally: dance decoding demonstrates that urban honey bees in Brighton, UK, forage mainly in the surrounding urban area",2015,Urban Ecosystems,18,2,,411,418,,10.1007/s11252-014-0403-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939893518&doi=10.1007%2fs11252-014-0403-y&partnerID=40&md5=90bd8a17a409538a4d6b045091bdb475,"Urbanization is increasing worldwide. Urban habitats often support considerable biodiversity and so are of conservation value, even though they are highly modified ecosystems. Urban parks and gardens are rich in flowers that provide food for pollinators, including bees. Here, we use waggle dance decoding to investigate foraging by 3 honey bee hives located in the city of Brighton, UK, over almost an entire foraging season, April to October. Waggle dances were recorded using video cameras and decoded during framewise playback on a computer by measuring the angle and duration of the waggle phase. Foraging was mostly local (mean monthly distances 0.5â€“1.2Â km) and mostly within the surrounding urban area (monthly means 78â€“92Â %) versus the countryside (closest distance 2.2Â km) even though this was well within the honey bee maximum foraging range (c. 12Â km). These distances were lower than those from a previous study for hives located in a rural area 4.5Â km away. Honey bees are very sensitive to foraging economics and foragers make waggle dances only after visiting high-quality feeding locations. Low distances advertised by dances, therefore, indicate sufficient forage nearby and show that urban areas can support honey bees year round. As a corollary, however, urban bees may provide little pollination service to agriculture especially in spring, which had the lowest foraging distances and is when the most economically important animal-pollinated UK crops, apple and oilseed rape, are in bloom. Â© 2014, Springer Science+Business Media New York.",Article,Scopus,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,234,Mean,461,,,41,,,May,
